Ambient temp,Direct normal solar,Diffuse horizontal solar
7.9,0,0
7.5,0,0
7.2,0,0
6.9,0,0
6.6,0,0
6.4,0,0
6.3,0,0
6.4,0,4
6.5,0,39
6.8,0,26
7.1,0,53
7.5,0,80
7.4,38,85
6.9,56,50
6.4,0,13
6,0,0
5.6,0,0
5.2,0,0
4.9,0,0
4.6,0,0
4.4,0,0
4.2,0,0
4,0,0
3.9,0,0
3.8,0,0
3.7,0,0
3.6,0,0
3.5,0,0
3.3,0,0
3.1,0,0
2.9,0,0
2.7,0,4
2.6,29,52
2.6,0,64
2.8,483,76
2.9,605,64
2.5,615,53
1.6,216,46
0.7,96,19
0.1,0,0
-0.2,0,0
-0.5,0,0
-0.8,0,0
-0.9,0,0
-1,0,0
-1.1,0,0
-1,0,0
-1,0,0
-0.9,0,0
-0.8,0,0
-0.7,0,0
-0.6,0,0
-0.4,0,0
-0.2,0,0
0,0,0
0.3,0,6
0.5,223,42
0.8,0,45
1.3,0,80
1.8,0,110
1.8,0,111
1.3,36,75
0.8,0,10
0.3,0,0
-0.1,0,0
-0.5,0,0
-0.8,0,0
-1.1,0,0
-1.3,0,0
-1.4,0,0
-1.3,0,0
-1.3,0,0
-1.2,0,0
-0.9,0,0
-0.6,0,0
-0.4,0,0
-0.3,0,0
-0.2,0,0
0.1,0,0
0.6,0,2
1,0,28
1.4,0,34
1.8,0,43
2.2,0,63
2.5,0,56
2.7,0,47
2.9,0,13
3.1,0,0
3.2,0,0
3.3,0,0
3.5,0,0
3.8,0,0
4,0,0
4.3,0,0
4.7,0,0
5,0,0
5.2,0,0
5.1,0,0
5.1,0,0
5.2,0,0
5.4,0,0
5.6,0,0
5.7,0,0
5.7,0,1
5.7,56,54
5.9,351,68
6.3,261,94
6.7,9,106
6.4,0,62
5.4,0,37
4.4,0,15
3.8,0,0
3.6,0,0
3.4,0,0
3.2,0,0
2.9,0,0
2.6,0,0
2.5,0,0
2.4,0,0
2.3,0,0
2.2,0,0
2,0,0
1.8,0,0
1.6,0,0
1.3,0,0
1,0,0
0.9,0,0
0.9,79,7
0.9,133,51
1.2,0,85
1.8,58,119
2.3,637,62
2.3,214,105
1.8,420,50
1.3,65,21
0.8,0,0
0.5,0,0
0.2,0,0
-0.1,0,0
-0.2,0,0
-0.4,0,0
-0.3,0,0
0.1,0,0
0.4,0,0
0.7,0,0
0.9,0,0
1.1,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.7,0,0
2.2,0,6
2.6,0,47
3.1,0,61
3.7,0,74
4.3,0,74
4.6,0,50
4.6,0,52
4.7,0,20
4.7,0,0
4.7,0,0
4.7,0,0
4.7,0,0
4.8,0,0
4.8,0,0
4.9,0,0
5.1,0,0
5.2,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.7,0,0
5.6,0,0
5.6,0,0
5.5,0,0
5.3,0,1
5.2,0,30
5.2,0,49
5.4,0,44
5.7,0,83
5.6,71,63
5.2,0,43
4.8,0,15
4.4,0,0
3.9,0,0
3.4,0,0
3.1,0,0
2.8,0,0
2.6,0,0
2.4,0,0
2.3,0,0
2.2,0,0
1.9,0,0
1.5,0,0
1.2,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.6,0,2
1.8,0,31
1.9,0,56
2,0,80
2.1,0,99
2,0,95
1.7,0,68
1.5,0,12
1.5,0,0
1.7,0,0
1.9,0,0
2,0,0
2.1,0,0
2.1,0,0
2.1,0,0
2.1,0,0
2.1,0,0
1.9,0,0
1.4,0,0
0.9,0,0
0.6,0,0
0.5,0,0
0.4,0,0
0.3,0,0
0.2,15,8
0.2,75,47
0.4,191,92
0.8,74,123
1.2,462,89
1.2,312,81
0.7,0,65
0.2,1,25
-0.1,1,0
-0.3,0,0
-0.5,0,0
-0.7,0,0
-0.9,0,0
-1.1,0,0
-1.1,0,0
-0.8,0,0
-0.6,0,0
-0.6,0,0
-0.9,0,0
-1.1,0,0
-1.2,0,0
-1.2,0,0
-1.2,0,0
-1,0,0
-0.5,0,2
-0.1,0,10
0.5,0,32
1.1,0,45
1.8,0,85
2.4,0,71
3,0,33
3.7,0,17
4.1,0,0
4.3,0,0
4.5,0,0
4.4,0,0
4.1,0,0
3.7,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.5,0,0
3,0,0
2.4,0,0
2.1,0,0
2.1,0,0
2.1,0,0
2.3,0,0
2.8,0,5
3.2,0,37
3.8,0,74
4.5,0,110
5.2,0,79
5.2,0,108
4.6,0,62
4.1,0,23
3.8,0,0
3.9,0,0
4,0,0
4.1,0,0
4.4,0,0
4.7,0,0
5,0,0
5.2,0,0
5.4,0,0
5.4,0,0
5.2,0,0
4.9,0,0
4.8,0,0
4.9,0,0
4.9,0,0
4.9,0,0
4.9,0,6
4.9,0,38
5.1,0,49
5.5,0,84
5.9,0,84
6.1,0,106
6.2,38,70
6.2,56,22
6.3,0,0
6.5,0,0
6.7,0,0
6.6,0,0
6.2,0,0
5.8,0,0
5.6,0,0
5.6,0,0
5.5,0,0
5.1,0,0
4.3,0,0
3.5,0,0
2.9,0,0
2.4,0,0
1.9,0,0
1.6,0,0
1.4,0,11
1.2,0,39
1.3,294,57
1.8,168,55
2.2,1,102
2.1,37,120
1.6,127,65
1.1,168,29
0.7,1,1
0.4,0,0
0.2,0,0
0,0,0
-0.1,0,0
-0.1,0,0
0.1,0,0
0.6,0,0
1.1,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.5,0,0
1.4,0,0
1.4,0,0
1.5,0,0
1.6,0,4
1.7,0,36
2,0,32
2.7,0,86
3.3,0,69
3.6,0,46
3.7,0,59
3.8,0,21
4,0,0
4.5,0,0
4.9,0,0
5.2,0,0
5.5,0,0
5.7,0,0
5.9,0,0
6.1,0,0
6.3,0,0
6.3,0,0
6,0,0
5.7,0,0
5.5,0,0
5.4,0,0
5.4,0,0
5.4,0,0
5.3,0,4
5.2,0,18
5.4,0,39
5.9,0,88
6.4,0,85
6.5,0,87
6.4,22,78
6.3,0,28
6,0,0
5.7,0,0
5.4,0,0
5.2,0,0
4.9,0,0
4.6,0,0
4.4,0,0
4.2,0,0
4,0,0
4,0,0
4.3,0,0
4.5,0,0
4.6,0,0
4.5,0,0
4.5,0,0
4.6,0,0
4.8,0,4
5,0,48
5.3,0,75
5.7,0,104
6.1,0,131
6.2,426,90
5.9,619,42
5.7,339,26
5.4,10,1
5.1,0,0
4.8,0,0
4.5,0,0
4,0,0
3.5,0,0
3,0,0
2.4,0,0
1.9,0,0
1.4,0,0
0.9,0,0
0.5,0,0
0,0,0
-0.6,0,0
-1.1,0,0
-1.3,0,0
-1.2,155,10
-1.1,601,32
-0.8,745,41
-0.1,799,46
0.6,801,48
0.9,750,48
0.8,629,43
0.8,352,27
0.6,10,2
0.2,0,0
-0.3,0,0
-0.6,0,0
-0.7,0,0
-0.9,0,0
-0.9,0,0
-0.6,0,0
-0.4,0,0
-0.6,0,0
-1.3,0,0
-2,0,0
-2.4,0,0
-2.6,0,0
-2.8,0,0
-2.8,0,0
-2.5,0,15
-2.2,326,45
-1.6,655,52
-0.6,556,83
0.4,747,57
0.7,721,53
0.2,631,45
-0.3,220,36
-0.7,0,2
-1.2,0,0
-1.6,0,0
-1.9,0,0
-2.1,0,0
-2.2,0,0
-2.5,0,0
-3,0,0
-3.4,0,0
-3.6,0,0
-3.5,0,0
-3.4,0,0
-3.5,0,0
-3.7,0,0
-3.9,0,0
-3.8,0,0
-3.4,160,12
-3,576,36
-2.6,713,48
-2.2,769,54
-1.8,778,55
-1.7,748,52
-2,661,44
-2.2,428,27
-2.5,22,3
-2.8,0,0
-3.2,0,0
-3.4,0,0
-3.6,0,0
-3.7,0,0
-3.9,0,0
-4,0,0
-4.2,0,0
-4.4,0,0
-4.5,0,0
-4.6,0,0
-4.8,0,0
-4.9,0,0
-4.9,0,0
-4.8,0,0
-4.4,34,15
-4.1,0,60
-3.7,0,64
-3.4,0,116
-3.1,7,130
-2.9,463,100
-2.6,635,47
-2.3,257,42
-2.4,19,3
-2.8,0,0
-3.1,0,0
-3.4,0,0
-3.6,0,0
-3.8,0,0
-3.9,0,0
-3.8,0,0
-3.8,0,0
-3.7,0,0
-3.5,0,0
-3.3,0,0
-3.2,0,0
-3.3,0,0
-3.4,0,0
-3.3,0,0
-3.2,97,16
-3,0,79
-2.6,440,81
-2,737,60
-1.4,755,60
-1.3,730,56
-1.7,647,48
-2,428,30
-2.5,29,4
-3.1,0,0
-3.6,0,0
-4,0,0
-4.2,0,0
-4.4,0,0
-4.7,0,0
-5,0,0
-5.3,0,0
-5.4,0,0
