Ambient temp,Direct normal solar,Diffuse horizontal solar
17.8,0,0
17.6,0,0
17.5,0,0
17.5,22,3
17.6,280,64
17.7,714,73
18.1,894,77
18.7,967,84
19.3,1007,89
20.4,1025,94
21.9,1028,98
23.4,950,145
23.6,860,185
22.4,736,209
21.3,785,138
20.3,635,133
19.6,126,141
18.9,57,38
18.4,0,0
17.9,0,0
17.5,0,0
17.3,0,0
17.2,0,0
17.1,0,0
17,0,0
16.8,0,0
16.6,0,0
16.6,0,3
16.9,279,55
17.1,499,124
17.5,746,126
18.2,875,126
18.9,957,115
19.8,954,142
21.1,922,180
22.4,892,200
22.8,913,167
22.4,861,167
22.1,802,150
21.6,734,113
20.9,600,73
20.2,235,26
19.7,0,0
19.2,0,0
18.8,0,0
18.5,0,0
18.3,0,0
18.2,0,0
18,0,0
17.8,0,0
17.6,0,0
17.7,22,3
18.2,500,36
18.7,781,59
19.5,903,71
20.7,969,79
21.8,1006,86
23.2,1019,95
24.7,1016,105
26.2,1003,112
26.4,986,111
25.1,950,110
23.9,895,102
23,813,85
22.4,652,63
21.8,256,25
21.2,0,0
20.7,0,0
20.2,0,0
19.7,0,0
19,0,0
18.3,0,0
18,0,0
18.1,0,0
18.1,0,0
18.3,18,3
18.7,461,37
19.1,745,62
19.7,866,77
20.5,928,88
21.3,960,99
22.2,973,110
23.3,973,119
24.3,963,125
24.1,950,122
22.6,922,115
21.2,876,103
20.2,799,85
19.7,517,86
19.2,230,28
18.7,0,0
18.3,0,0
18,0,0
17.8,0,0
17.7,0,0
17.7,0,0
17.6,0,0
17.4,0,0
17.2,0,0
17.2,11,3
17.3,185,66
17.4,267,154
17.8,440,232
18.4,419,317
19,833,175
20,746,259
21.5,980,118
22.9,973,118
23.1,948,122
22.1,925,113
21.2,883,99
20.4,797,85
19.8,634,64
19.2,240,26
18.8,0,0
18.5,0,0
18.3,0,0
18.1,0,0
17.9,0,0
17.8,0,0
17.7,0,0
17.6,0,0
17.5,0,0
17.7,14,2
18.2,296,50
18.6,748,63
19.3,882,76
20.3,954,84
21.2,993,91
22.3,1004,104
23.4,1000,117
24.5,979,133
24.4,927,156
23.4,889,151
22.3,840,132
21.4,763,104
20.7,536,83
20,123,34
19.5,0,0
19,0,0
18.6,0,0
18.2,0,0
17.8,0,0
17.4,0,0
17.3,0,0
17.5,0,0
17.6,0,0
17.9,13,2
18.4,370,44
18.8,749,63
19.3,671,156
19.9,471,303
20.5,472,369
21.2,666,310
22.1,565,391
23,591,372
22.9,726,272
21.9,417,363
20.9,452,293
20.1,831,82
19.4,590,80
18.8,273,25
18.4,0,0
18.1,0,0
17.8,0,0
17.6,0,0
17.4,0,0
17.3,0,0
17.2,0,0
17.3,0,0
17.4,0,0
17.6,11,2
17.9,415,37
18.2,771,57
18.7,899,69
19.4,966,77
20.1,995,88
20.9,986,112
22,964,138
23.1,937,155
23,920,150
21.8,744,220
20.7,406,308
19.9,582,157
19.4,318,123
18.9,147,32
18.6,0,0
18.4,0,0
18.2,0,0
18.1,0,0
18.2,0,0
18.3,0,0
18.2,0,0
18.1,0,0
18.1,0,0
18.2,7,2
18.5,65,70
18.8,389,128
19.2,839,86
19.8,921,94
20.4,969,98
21.2,990,105
22.2,931,154
23.2,808,236
23,985,109
21.6,959,103
20.2,912,93
19.3,829,80
18.8,398,106
18.3,253,26
18,0,0
17.8,0,0
17.6,0,0
17.4,0,0
17.1,0,0
16.8,0,0
16.7,0,0
16.8,0,0
16.8,0,0
16.9,0,1
17.2,0,68
17.5,68,152
17.9,331,231
18.4,270,370
18.9,620,283
19.6,351,475
20.5,300,526
21.3,17,510
21.3,86,484
20.5,431,355
19.7,241,355
19.1,314,216
18.8,37,164
18.5,101,36
18.2,0,0
17.9,0,0
17.7,0,0
17.3,0,0
16.7,0,0
16.2,0,0
16,0,0
16.1,0,0
16.2,0,0
16.4,6,1
16.7,69,67
17,190,163
17.4,534,196
18.1,426,317
18.7,561,316
19.5,76,559
20.4,148,567
21.3,290,531
21.5,47,554
20.8,0,238
20.1,0,133
19.4,0,124
18.6,0,76
17.9,0,19
17.3,0,0
16.9,0,0
16.6,0,0
16.1,0,0
15.5,0,0
14.9,0,0
14.7,0,0
15,0,0
15.2,0,0
15.4,3,1
15.7,191,54
16,447,124
16.5,743,124
17.2,647,221
17.9,945,114
18.8,998,100
19.7,1014,99
20.6,1014,99
20.7,997,99
20,966,95
19.4,902,94
18.9,243,243
18.5,277,125
18.2,84,39
17.9,0,0
17.7,0,0
17.6,0,0
17.4,0,0
17.3,0,0
17.2,0,0
17.2,0,0
17.3,0,0
17.4,0,0
17.5,2,1
17.7,15,58
17.8,180,160
18.1,501,199
18.5,386,332
18.9,602,295
19.7,782,231
21,742,272
22.3,576,375
22.3,617,326
21.2,278,439
20.1,492,267
19.3,363,222
18.8,282,124
18.3,25,40
18,0,0
17.7,0,0
17.4,0,0
17.1,0,0
16.7,0,0
16.4,0,0
16.3,0,0
16.4,0,0
16.5,0,0
16.6,2,1
16.9,176,51
17.2,519,104
17.6,348,231
18.2,906,102
18.7,965,102
19.6,998,102
20.9,1012,101
22.2,1012,100
22.3,995,100
21.3,953,101
20.3,811,137
19.5,827,78
19,660,60
18.5,254,25
18.2,0,0
18,0,0
17.8,0,0
17.4,0,0
16.9,0,0
16.4,0,0
16.3,0,0
16.4,0,0
16.5,0,0
16.8,3,1
17.2,265,41
17.6,704,65
18.2,863,76
19,949,81
19.8,997,84
20.9,1018,89
22.2,1029,89
23.5,1027,90
23.6,1008,93
22.5,981,89
21.4,935,82
20.5,853,72
20,648,63
19.5,245,27
19.1,0,0
18.8,0,0
18.5,0,0
18.4,0,0
18.3,0,0
18.3,0,0
18.3,0,0
18.2,0,0
18.1,0,0
18.3,3,0
18.8,386,31
19.3,728,59
19.9,865,74
20.8,938,85
21.7,978,94
22.9,991,106
24.4,987,118
25.9,973,128
26.2,960,124
25.1,919,126
24.1,855,120
23.3,756,104
22.8,576,76
22.3,196,28
21.8,0,0
21.3,0,0
20.8,0,0
20.2,0,0
19.7,0,0
19.2,0,0
18.9,0,0
18.6,0,0
18.3,0,0
18.4,1,0
18.7,226,41
19,496,110
19.5,664,140
20.2,871,120
20.9,930,126
21.7,979,117
22.8,999,114
23.9,1001,111
23.8,982,113
22.6,954,107
21.4,906,97
20.5,549,161
19.9,201,144
19.3,117,36
18.9,0,0
18.6,0,0
18.3,0,0
18.2,0,0
18.3,0,0
18.3,0,0
18.2,0,0
18,0,0
17.9,0,0
17.7,2,0
17.6,58,46
17.5,5,155
17.5,178,222
17.8,688,188
18.1,325,325
18.2,99,478
18.3,84,482
18.3,133,563
18.1,119,495
17.7,515,333
17.3,760,165
16.9,709,117
16.4,579,76
16,75,33
15.7,0,0
15.4,0,0
15.2,0,0
15,0,0
14.8,0,0
14.6,0,0
14.5,0,0
14.4,0,0
14.3,0,0
14.4,1,0
14.6,244,39
14.8,669,70
15.2,723,126
15.7,860,130
16.2,911,135
17.2,745,262
18.8,566,389
20.3,865,204
20.6,1029,88
19.7,1012,79
18.8,966,74
18.1,881,67
17.6,720,53
17.2,288,22
16.9,0,0
16.6,0,0
16.3,0,0
16,0,0
15.6,0,0
15.2,0,0
15,0,0
15.1,0,0
15.2,0,0
15.4,0,0
15.9,347,29
16.4,412,125
17.2,589,162
18.5,849,131
19.8,251,396
21.3,777,207
23,1040,87
24.7,1038,87
25,1025,87
23.9,994,86
22.9,782,153
22.1,855,73
21.5,705,54
20.9,287,22
20.3,0,0
19.8,0,0
19.3,0,0
18.6,0,0
17.6,0,0
16.6,0,0
16.3,0,0
16.6,0,0
16.9,0,0
17.3,2,0
17.6,269,35
17.9,523,103
18.4,718,118
19.1,932,89
19.8,976,96
20.7,999,101
21.8,1010,102
22.9,1009,101
23,997,98
22,970,94
21.1,920,87
20.3,833,76
19.7,665,58
19.1,182,27
18.7,0,0
18.4,0,0
18.1,0,0
17.9,0,0
17.8,0,0
17.7,0,0
17.6,0,0
17.5,0,0
17.5,0,0
17.5,0,0
17.7,0,39
17.8,35,169
18.2,52,311
18.7,669,191
19.2,991,90
20,1026,88
21.2,1042,85
22.4,1044,84
22.4,1029,86
21.2,1003,83
20.1,956,78
19.2,874,69
18.6,710,54
18.1,270,22
17.7,0,0
17.5,0,0
17.3,0,0
17,0,0
16.7,0,0
16.4,0,0
16.4,0,0
16.6,0,0
16.8,0,0
17,0,0
17.3,17,39
17.5,0,119
17.8,349,213
18.2,894,103
18.6,554,307
19.3,45,592
20.4,305,525
21.5,5,592
21.4,147,565
20.3,471,358
19.2,718,184
18.4,817,85
17.9,636,65
17.4,153,30
17,0,0
16.7,0,0
16.4,0,0
16.3,0,0
16.2,0,0
16.2,0,0
16.2,0,0
16.1,0,0
16.1,0,0
16.2,1,0
16.5,223,34
16.7,643,67
17.2,854,75
17.9,938,83
18.6,985,90
19.5,1005,97
20.7,1009,103
21.9,1002,107
22.1,985,107
21.4,955,103
20.7,905,94
20.1,822,80
19.4,605,68
18.7,243,22
18.2,0,0
17.9,0,0
17.6,0,0
17.3,0,0
16.8,0,0
16.3,0,0
16.2,0,0
16.4,0,0
16.5,0,0
16.8,1,0
17.3,285,26
17.7,649,64
18.4,842,76
19.5,914,92
20.6,924,125
21.5,876,187
22.3,755,290
23.1,654,356
23.1,723,286
22.4,621,296
21.7,522,264
21.1,455,190
20.6,289,116
20.2,103,30
19.9,0,0
19.6,0,0
19.3,0,0
19,0,0
18.5,0,0
18.1,0,0
17.9,0,0
18,0,0
18.1,0,0
18.3,1,0
18.7,258,29
19,742,50
19.8,893,63
21,968,73
22.2,1003,85
23.4,1004,106
24.6,988,129
25.7,961,150
26.1,918,165
25.6,860,169
25.1,787,157
24.6,682,129
23.9,500,86
23.3,129,28
22.7,0,0
22.1,0,0
21.6,0,0
21.1,0,0
20.7,0,0
20.4,0,0
20,0,0
19.7,0,0
19.4,0,0
19.4,0,0
19.7,144,34
20,637,68
20.8,814,89
21.9,905,101
23,950,114
24.1,968,128
25.4,937,164
26.7,895,195
26.7,886,183
25.6,832,183
24.5,769,164
23.6,697,124
22.9,522,83
22.2,172,25
21.7,0,0
21.2,0,0
20.8,0,0
20.6,0,0
20.5,0,0
20.5,0,0
20.3,0,0
19.9,0,0
19.5,0,0
19.5,0,0
19.8,261,24
20.1,670,61
20.9,832,81
22.1,917,93
23.3,967,100
24.7,995,103
26.3,1004,106
27.8,999,108
27.9,984,108
26.7,954,103
25.4,905,94
24.5,819,80
23.9,648,60
23.3,221,22
22.7,0,0
22,0,0
21.4,0,0
20.7,0,0
20,0,0
19.3,0,0
18.8,0,0
18.7,0,0
18.6,0,0
18.5,0,0
18.6,210,25
18.6,621,67
18.9,795,90
19.5,698,187
20.1,935,114
20.9,952,128
21.9,968,130
22.8,863,197
22.8,895,165
21.8,917,125
20.9,785,142
20.1,127,269
19.5,105,149
18.9,33,33
18.7,0,0
19,0,0
19.2,0,0
19.2,0,0
19.1,0,0
19,0,0
18.7,0,0
18.2,0,0
17.7,0,0
17.6,0,0
17.7,64,36
17.8,12,138
18.1,0,259
18.6,157,376
19.1,605,289
20.3,816,212
22.1,445,445
23.8,550,385
24.1,439,420
22.8,586,295
21.6,797,139
20.8,771,92
20.3,608,64
19.9,201,21
19.6,0,0
19.3,0,0
19,0,0
18.9,0,0
18.9,0,0
18.9,0,0
18.8,0,0
18.5,0,0
18.2,0,0
18.2,0,0
18.4,241,22
18.5,547,73
19,829,74
19.8,913,86
20.5,964,92
21.6,989,97
23.1,1000,99
24.5,990,105
24.8,925,137
24,950,99
23.3,904,88
22.6,820,75
22,652,56
21.4,221,19
20.9,0,0
20.5,0,0
20.1,0,0
20,0,0
20.1,0,0
20.1,0,0
20.1,0,0
19.9,0,0
19.8,0,0
19.8,0,0
20,203,22
20.2,617,63
20.8,794,84
21.7,887,97
22.6,938,105
23.9,962,113
25.5,972,116
27,968,118
27.4,940,125
26.5,902,121
25.6,843,111
24.8,745,94
24.1,558,68
23.4,158,21
22.8,0,0
22.4,0,0
22.1,0,0
21.8,0,0
21.5,0,0
21.2,0,0
20.9,0,0
20.6,0,0
20.3,0,0
20.3,0,0
20.6,0,28
20.8,6,80
21.2,506,157
21.8,766,145
22.4,607,265
22.7,60,524
22.8,147,582
22.8,208,553
22.5,227,523
22,472,336
21.5,94,405
21,319,219
20.6,97,139
20.2,4,27
19.8,0,0
19.5,0,0
19.2,0,0
18.8,0,0
18.5,0,0
18.2,0,0
17.9,0,0
17.8,0,0
17.7,0,0
17.7,0,0
17.8,7,28
17.9,0,136
18.1,0,193
18.4,0,272
18.7,0,403
19.1,0,386
19.8,0,410
20.5,2,393
20.5,183,528
20,30,501
19.5,255,342
19.2,303,226
18.9,203,122
18.6,12,30
18.4,0,0
18.2,0,0
18.1,0,0
17.9,0,0
