Ambient temp,Direct normal solar,Diffuse horizontal solar
1.8,0,0
1.7,0,0
1.7,0,0
1.9,0,0
2.2,0,0
2.4,0,0
2.4,0,0
2.3,0,0
2.1,0,0
2.3,0,14.994
2.5,37.0943,51.156
2.7,303.0615,52.038
2.9,267.1431,65.268
3,190.3889,59.976
3.2,153.77565,34.398
3,0,10.584
2.9,0,0
2.7,0,0
2.9,0,0
3,0,0
3.2,0,0
3,0,0
2.9,0,0
2.9,0,0
2.7,0,0
2.4,0,0
2.2,0,0
2.3,0,0
2.3,0,0
2.4,0,0
2.4,0,0
2.4,0,0
2.4,0,0
2.5,0,5.292
2.7,0,17.64
2.8,0,29.106
3.4,0,33.516
3.9,0,28.224
4.5,0,15.876
4.8,0,7.938
5.1,0,0
5.4,0,0
5.6,0,0
5.8,0,0
6,0,0
5.8,0,0
5.6,0,0
5.4,0,0
5.3,0,0
5.1,0,0
4.9,0,0
4.9,0,0
5,0,0
5,0,0
5.1,0,0
5.2,0,0
5.3,0,0
5.1,0,13.23
5,0,34.398
4.8,0,29.988
4.5,0,33.516
4.2,0,28.224
3.9,0,15.876
3.7,0,7.056
3.6,0,0
3.4,0,0
3.2,0,0
3.1,0,0
2.9,0,0
3,0,0
3.2,0,0
3.3,0,0
3.4,0,0
3.6,0,0
3.7,0,0
3.5,0,0
3.3,0,0
3.1,0,0
3.1,0,0
3.1,0,0
3.1,0,0
3.5,0,14.112
3.8,75.7921,34.398
4.2,3.36735,56.448
4.3,75.20415,68.796
4.4,88.67355,66.15
4.5,66.22455,41.454
4.1,0,11.466
3.6,0,0
3.2,0,0
3.1,0,0
3.1,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.3,0,0
3.3,0,0
3.3,0,0
3.6,0,0
3.8,0,0
4.1,0,0
4.2,0,5.292
4.4,0,18.522
4.5,0,30.87
4.4,0,34.398
4.2,0,29.988
4.1,0,16.758
4,0,4.41
3.8,0,0
3.7,0,0
3.8,0,0
3.9,0,0
4,0,0
4,0,0
3.9,0,0
3.9,0,0
3.7,0,0
3.5,0,0
3.3,0,0
3.4,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.8,0,0
3.9,0,0
4.5,0,11.466
5.2,74.0817,36.162
5.8,83.0613,64.386
5.8,10.10205,63.504
5.8,0,31.752
5.8,0,17.64
5.4,0,4.41
5.1,0,0
4.7,0,0
4.7,0,0
4.7,0,0
4.7,0,0
4.6,0,0
4.6,0,0
4.5,0,0
4.4,0,0
4.2,0,0
4.1,0,0
3.9,0,0
3.7,0,0
3.5,0,0
3.5,0,0
3.6,0,0
3.6,0,0
4.3,0,18.522
5.1,56.1225,58.212
5.8,354.6942,55.566
5.5,227.5901,67.914
5.2,115.5589,50.274
4.9,83.0613,44.1
3.9,0,14.994
2.8,0,0
1.8,0,0
1.6,0,0
1.3,0,0
1.1,0,0
1.1,0,0
1,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
2.5,0,0
2.6,0,0
2.6,0,0
2.9,0,0
3.3,0,0
3.6,0,0
4.1,0,6.174
4.6,0,19.404
5.1,0,31.752
5,0,36.162
4.9,0,31.752
4.7,0,18.522
4.6,0,5.292
4.5,0,0
4.4,0,0
4.1,0,0
3.7,0,0
3.4,0,0
3.6,0,0
3.7,0,0
3.9,0,0
4.1,0,0
4.2,0,0
4.4,0,0
4.6,0,0
4.8,0,0
5,0,0
5.1,0,0
5.3,0,0
5.4,0,0
5.7,0,6.174
6.1,0,20.286
6.4,0,32.634
6.4,0,37.044
6.3,0,31.752
6.3,0,19.404
6.5,0,5.292
6.8,0,0
7,0,0
7.1,0,0
7.1,0,0
7.2,0,0
7.3,0,0
7.4,0,0
7.5,0,0
7.3,0,0
7.2,0,0
7,0,0
6.9,0,0
6.7,0,0
6.6,0,0
6.8,0,0
7,0,0
7.2,0,0
7.5,0,10.584
7.8,37.04085,39.69
8.1,118.9797,65.268
8,103.9068,75.852
7.9,46.5015,67.032
7.8,41.53065,44.982
