Ambient temp,Direct normal solar,Diffuse horizontal solar
6.3,0,0
5.9,0,0
5.6,0,0
5.4,0,0
5.3,0,0
5.3,0,0
5.3,0,0
5.3,0,0.6
5.3,0,10.8
5.5,0,20
6,0,30.4
6.5,0,25.8
6.6,0,36.4
6.3,0,48.3
6,0,50.4
5.8,0,18.4
5.7,0,0
5.6,0,0
5.5,0,0
5.6,0,0
5.6,0,0
5.6,0,0
5.5,0,0
5.5,0,0
5.1,0,0
4.4,0,0
3.6,0,0
3,0,0
2.7,0,0
2.3,0,0
2.1,0,0
2,2.4,0.8
1.9,33.6,24.8
2.5,0,42.7
3.6,0,57.6
4.7,0,109.8
4.9,0,78.6
4.1,0,70.7
3.3,0,49
2.4,53.9,17.5
1.4,0,0
0.5,0,0
-0.2,0,0
-0.7,0,0
-1.1,0,0
-0.9,0,0
-0.1,0,0
0.6,0,0
0.9,0,0
0.6,0,0
0.3,0,0
0,0,0
-0.5,0,0
-1,0,0
-1.2,0,0
-1,2.4,0.7
-0.8,24,18
0.1,0,64.8
1.7,0,99.9
3.2,0,93.6
3.9,0,123.3
3.5,0,104.8
3.2,9,67.2
2.4,66,15.6
1.3,0,0
0.2,0,0
-0.6,0,0
-1,0,0
-1.4,0,0
-1.3,0,0
-0.6,0,0
0,0,0
-0.1,0,0
-0.8,0,0
-1.5,0,0
-2,0,0
-2.4,0,0
-2.9,0,0
-2.9,0,0
-2.4,0,0.7
-2,0,23.8
-0.9,117.6,63
0.7,0,91.2
2.3,0,92.8
3.1,0,58.8
3,0,77.4
2.9,0,27.6
2.6,0,12.6
2.1,0,0
1.6,0,0
1.3,0,0
1.2,0,0
1.1,0,0
1.2,0,0
1.5,0,0
1.7,0,0
1.6,0,0
1.1,0,0
0.6,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.8,0,0
1.1,2.1,0.9
1.4,39.6,17.5
2,0,17.4
2.9,0,42.4
3.8,0,47.2
4,0,57.6
3.5,0,42.6
3,0,27.6
2.7,0,16.8
2.4,0,0
2.2,0,0
2,0,0
1.8,0,0
1.7,0,0
1.8,0,0
2.2,0,0
2.6,0,0
2.6,0,0
2.1,0,0
1.6,0,0
1.4,0,0
1.4,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.8,0,5.6
2.2,0,27.9
3,0,48.6
3.8,0,64.8
4.2,0,73.8
4.1,0,42
4,0,36
3.9,0,7.7
3.6,0,0
3.4,0,0
3.2,0,0
3,0,0
2.8,0,0
3,0,0
3.7,0,0
4.3,0,0
4.2,0,0
3.3,0,0
2.4,0,0
1.8,0,0
1.6,0,0
1.3,0,0
1.3,0,0
1.4,0,0.9
1.6,0,17.5
2.4,0,72
3.9,0,93.6
5.4,0,77.4
6.1,0,65.1
6.1,0,91.8
6.1,0,62.1
6,0,13.6
5.8,0,0
5.6,0,0
5.6,0,0
5.7,0,0
5.8,0,0
6.1,0,0
6.4,0,0
6.8,0,0
6.8,0,0
6.5,0,0
6.3,0,0
6.1,0,0
6.1,0,0
6.1,0,0
5.9,0,0
5.5,0,0
5.2,0,19.2
5.4,107.8,81
6.1,115.2,85.2
6.8,108,114.8
6.7,0.8,81.6
5.7,0,76.2
4.8,49.6,51.8
4.1,8.4,23.1
3.6,0,0
3.1,0,0
2.8,0,0
2.5,0,0
2.2,0,0
2.2,0,0
2.5,0,0
2.7,0,0
2.6,0,0
2.2,0,0
1.7,0,0
1.5,0,0
1.4,0,0
1.3,0,0
1.3,0,0
1.6,0,0.6
1.8,51.6,20.4
2.4,30,39.6
3.3,0,52.8
4.2,0,58.2
4.3,0,46.2
3.7,0,63
3.1,0,75.2
2.5,0,25.6
2.1,0,0
1.6,0,0
1.3,0,0
1,0,0
0.8,0,0
0.7,0,0
0.6,0,0
0.6,0,0
0.5,0,0
0.3,0,0
0.1,0,0
-0.1,0,0
-0.3,0,0
-0.5,0,0
-0.6,0,0
-0.6,5.4,0.8
-0.6,149.1,31.5
0,0.8,84.6
1.1,0,112
2.2,0,137.7
2.6,0,134.4
2.3,0,127.8
2,0,74.7
1.6,1.6,26.4
1.3,0,0
0.9,0,0
0.4,0,0
-0.1,0,0
-0.7,0,0
-0.7,0,0
-0.1,0,0
0.4,0,0
0.7,0,0
0.6,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.9,0,0
1.2,0,0
1.7,0,0
2.2,0,22.5
2.8,0,25.2
3.6,0,38.7
4.3,0,50.4
4.6,0,39.9
4.5,0.7,52.8
4.3,35.7,57
4.1,14,17.4
3.9,0,0
3.7,0,0
3.5,0,0
3.3,0,0
3.1,0,0
3.2,0,0
3.7,0,0
4.2,0,0
4,0,0
3.1,0,0
2.3,0,0
1.8,0,0
1.6,0,0
1.4,0,0
1.5,0,0
1.9,0,0.8
2.3,0,15.2
3.2,0,19.8
4.5,0,68.8
5.9,0,88.2
6.4,0,55.2
6.1,0,63.2
5.9,0,45
5.7,0,17.6
5.8,0,0
5.8,0,0
5.8,0,0
5.9,0,0
5.9,0,0
6.2,0,0
6.5,0,0
6.9,0,0
6.9,0,0
6.4,0,0
5.9,0,0
5.8,0,0
6.1,0,0
6.4,0,0
6.6,0,0
6.8,0,0
