Ambient temp,Direct normal solar,Diffuse horizontal solar
0,0,0
-0.3,0,0
-0.7,0,0
-0.9,0,0
-1.1,0,0
-1.4,0,0
-1.1,0,0
-0.5,31,2
0.2,544,27
2.1,779,42
5.1,869,49
8.1,909,53
9.8,917,54
10.3,896,53
10.7,841,47
9.8,715,38
7.7,295,15
5.6,0,0
4,0,0
2.7,0,0
1.4,0,0
0.6,0,0
0.3,0,0
0,0,0
-0.3,0,0
-0.4,0,0
-0.5,0,0
-0.7,0,0
-0.8,0,0
-0.9,0,0
-0.8,0,0
-0.4,34,2
-0.1,576,25
1.4,808,40
3.9,894,47
6.4,930,50
7.8,937,51
8.1,915,50
8.4,859,46
7.7,737,36
6,319,15
4.3,0,0
3.1,0,0
2.2,0,0
1.3,0,0
0.8,0,0
0.5,0,0
0.3,0,0
0.1,0,0
0,0,0
-0.1,0,0
-0.4,0,0
-0.8,0,0
-1.1,0,0
-1.1,0,0
-0.6,29,2
-0.2,537,28
1.5,776,45
4.4,862,53
7.3,897,58
8.8,901,60
9,874,60
9.2,549,101
8.9,218,93
8.2,252,19
7.5,0,0
6.2,0,0
4.2,0,0
2.3,0,0
1,0,0
0.3,0,0
-0.3,0,0
-0.8,0,0
-1.3,0,0
-1.8,0,0
-2.2,0,0
-2.5,0,0
-2.8,0,0
-2.8,0,0
-2.3,30,2
-1.8,548,27
0.1,791,42
3.3,887,50
6.6,931,53
8.3,942,53
8.5,925,51
8.6,875,46
7.9,759,36
6.3,349,16
4.8,0,0
3.2,0,0
1.5,0,0
-0.1,0,0
-0.9,0,0
-1,0,0
-1.1,0,0
-1.2,0,0
-1.5,0,0
-1.7,0,0
-1.9,0,0
-2.1,0,0
-2.3,0,0
-2.1,0,0
-1.6,34,2
-1.1,586,25
0.6,817,39
3.5,902,46
6.4,940,49
8.1,948,50
8.6,931,48
9,879,44
8.1,758,35
5.8,350,16
3.6,0,0
1.9,0,0
0.8,0,0
-0.3,0,0
-0.8,0,0
-0.7,0,0
-0.6,0,0
-0.7,0,0
-0.9,0,0
-1,0,0
-1.3,0,0
-1.7,0,0
-2,0,0
-2,0,0
-1.5,38,2
-1.1,618,24
0.7,847,37
3.7,928,43
6.8,962,46
8.2,969,47
8.1,951,45
8,900,42
7.1,787,34
5.3,385,16
3.6,0,0
2.2,0,0
1.3,0,0
0.4,0,0
0,0,0
0.1,0,0
0.2,0,0
0.1,0,0
0,0,0
-0.1,0,0
-0.4,0,0
-0.9,0,0
-1.4,0,0
-1.4,0,0
-1.1,35,2
-0.8,589,25
0.8,823,39
3.6,907,46
6.5,943,50
7.9,949,51
7.8,926,50
7.8,871,46
7,750,37
5.4,359,17
3.9,0,0
2.6,0,0
1.7,0,0
0.8,0,0
0.3,0,0
0.2,0,0
0.2,0,0
0.1,0,0
-0.2,0,0
-0.4,0,0
-0.7,0,0
-1.2,0,0
-1.6,0,0
-1.6,0,0
-1.3,31,2
-1,549,27
0.6,786,43
3.4,874,50
6.2,911,54
7.8,918,54
8.1,899,53
8.4,845,48
7.7,727,38
6,352,18
4.3,0,0
