Ambient temp,Direct normal solar,Diffuse horizontal solar
22.8,974,107
23.6,992,108
24.3,997,109
24.7,990,107
24.7,971,103
24.8,938,95
24.1,879,85
22.7,772,72
21.4,545,53
20,85,15
18.7,0,0
17.4,0,0
16.4,0,0
15.7,0,0
15,0,0
14.6,0,0
14.4,0,0
14.2,0,0
14.2,0,0
14.4,39,26
14.5,0,90
15.4,0,172
17.1,0,294
18.8,0,380
19.8,230,491
20.2,742,259
20.6,1004,103
20.8,996,102
20.9,977,99
21,938,95
20.5,866,91
19.4,752,78
18.4,473,65
17.4,47,17
16.4,0,0
15.5,0,0
14.8,0,0
14.3,0,0
13.8,0,0
13.5,0,0
13.3,0,0
13.1,0,0
13.3,0,0
13.9,13,22
14.4,0,69
15.9,0,130
18.3,0,219
20.7,263,391
22.5,942,132
23.7,979,124
24.9,986,123
25.9,980,120
26.6,962,114
27.3,928,105
27.3,869,93
26.6,766,77
26,497,60
24.8,87,16
23,0,0
21.3,0,0
20.1,0,0
19.4,0,0
18.7,0,0
18.6,0,0
18.9,0,0
19.2,0,0
20.1,0,0
21.6,218,23
23.1,635,58
25.6,787,84
29.1,876,102
32.6,931,112
34.5,959,120
34.9,969,127
35.3,967,131
35.3,952,132
34.8,847,168
34.4,16,312
32.2,0,206
28.4,251,170
24.6,42,94
21.6,2,12
19.4,0,0
17.3,0,0
16,0,0
15.6,0,0
15.3,0,0
15,0,0
14.8,0,0
14.6,0,0
14.5,0,0
14.6,0,21
14.7,7,117
15,3,87
15.6,0,89
16.1,0,84
16.6,0,47
16.9,0,33
17.2,0,198
17.4,144,410
17.7,897,146
18,898,115
17.8,847,97
17.2,743,79
16.7,437,60
16,72,15
15.2,0,0
14.4,0,0
13.9,0,0
13.7,0,0
13.6,0,0
13.3,0,0
13,0,0
12.7,0,0
12.8,0,0
13.3,219,20
13.8,647,53
14.8,829,69
16.3,926,78
17.8,808,171
18.8,966,116
19.3,847,203
19.7,1028,93
20,1016,95
20.2,996,93
20.3,960,88
20,899,80
19.2,793,69
18.4,584,50
17.5,99,14
16.6,0,0
15.7,0,0
15,0,0
14.5,0,0
14.1,0,0
13.8,0,0
13.7,0,0
13.6,0,0
13.6,0,0
