Ambient temp,Direct normal solar,Diffuse horizontal solar
7.3,0,0
6.9,0,0
6.6,0,0
6.4,0,0
6.3,0,0
6.3,0,0
6.3,0,0
6.3,0,1
6.3,0,18
6.5,0,25
7,0,38
7.5,0,43
7.6,0,52
7.3,0,69
7,0,56
6.8,0,23
6.7,0,0
6.6,0,0
6.5,0,0
6.6,0,0
6.6,0,0
6.6,0,0
6.5,0,0
6.5,0,0
6.1,0,0
5.4,0,0
4.6,0,0
4,0,0
3.7,0,0
3.3,0,0
3.1,0,0
3,3,1
2.9,42,31
3.5,0,61
4.6,0,96
5.7,0,122
5.9,0,131
5.1,0,101
4.3,0,70
3.4,77,25
2.4,0,0
1.5,0,0
0.8,0,0
0.3,0,0
-0.1,0,0
0.1,0,0
0.9,0,0
1.6,0,0
1.9,0,0
1.6,0,0
1.3,0,0
1,0,0
0.5,0,0
0,0,0
-0.2,0,0
0,3,1
0.2,40,30
1.1,0,72
2.7,0,111
4.2,0,156
4.9,0,137
4.5,0,131
4.2,10,84
3.4,110,26
2.3,0,0
1.2,0,0
0.4,0,0
0,0,0
-0.4,0,0
-0.3,0,0
0.4,0,0
1,0,0
0.9,0,0
0.2,0,0
-0.5,0,0
-1,0,0
-1.4,0,0
-1.9,0,0
-1.9,0,0
-1.4,0,1
-1,0,34
0.1,196,90
1.7,0,114
3.3,0,116
4.1,0,98
4,0,86
3.9,0,46
3.6,0,21
3.1,0,0
2.6,0,0
2.3,0,0
2.2,0,0
2.1,0,0
2.2,0,0
2.5,0,0
2.7,0,0
2.6,0,0
2.1,0,0
1.6,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.8,0,0
2.1,3,1
2.4,44,25
3,0,29
3.9,0,53
4.8,0,59
5,0,96
4.5,0,71
4,0,46
3.7,0,24
3.4,0,0
3.2,0,0
3,0,0
2.8,0,0
2.7,0,0
2.8,0,0
3.2,0,0
3.6,0,0
3.6,0,0
3.1,0,0
2.6,0,0
2.4,0,0
2.4,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.8,0,7
3.2,0,31
4,0,54
4.8,0,72
5.2,0,82
