Ambient temp,Direct normal solar,Diffuse horizontal solar
4.2,807,80
5.7,862,90
7.2,877,95
8.1,862,96
8.4,804,93
8.7,688,82
8.2,476,54
6.7,64,9
5.3,0,0
4.3,0,0
3.8,0,0
3.3,0,0
3.1,0,0
3.1,0,0
3,0,0
2.7,0,0
2.2,0,0
1.7,0,0
1.3,0,0
1,0,0
0.7,0,0
1.4,1,0
3,252,36
4.6,584,74
5.8,747,89
6.7,830,94
7.6,862,94
8,862,91
7.9,821,85
7.8,731,73
7.1,531,50
5.7,69,10
4.4,0,0
3.6,0,0
3.4,0,0
3.2,0,0
2.6,0,0
1.6,0,0
0.6,0,0
-0.1,0,0
-0.4,0,0
-0.8,0,0
-1.1,0,0
-1.3,0,0
-1.6,0,0
-0.8,2,0
1.1,335,32
2.9,667,64
4.5,802,78
5.8,863,87
7.1,881,93
7.6,868,93
7.2,817,90
6.9,726,77
5.8,542,51
4.1,90,10
2.4,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.5,0,0
0.8,0,0
0.1,0,0
-0.5,0,0
-1,0,0
-1.5,0,0
-1.9,0,0
-2.2,0,0
-2.5,0,0
-1.6,2,0
0.3,367,31
2.2,702,62
3.9,820,79
5.4,873,90
6.8,892,93
7.7,892,88
8,840,85
8.3,735,75
7.7,524,52
6.4,82,10
5.1,0,0
4.1,0,0
3.5,0,0
2.9,0,0
2.8,0,0
3.1,0,0
3.5,0,0
3.7,0,0
3.8,0,0
3.9,0,0
3.7,0,0
3.2,0,0
2.8,0,0
3.2,1,0
4.4,218,37
5.6,514,82
7,679,102
8.7,745,116
10.4,770,122
11.3,783,114
11.3,749,103
11.4,662,85
10.4,456,58
8.4,68,11
6.3,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.1,0,0
4.1,0,0
3,0,0
2.1,0,0
1.4,0,0
0.6,0,0
-0.1,0,0
-0.6,0,0
-1.2,0,0
-0.6,1,0
1.3,255,38
3.1,379,114
4.2,719,100
4.7,609,169
5.3,47,240
5.6,0,149
5.7,0,130
5.9,0,151
5.5,0,85
4.6,0,8
3.7,0,0
3.1,0,0
2.9,0,0
2.6,0,0
2,0,0
1.1,0,0
0.2,0,0
-0.4,0,0
-0.6,0,0
-0.9,0,0
-1.1,0,0
-1.4,0,0
-1.7,0,0
-0.9,2,0
1.2,350,31
3.2,689,62
4.8,815,78
5.9,874,86
7,893,91
7.6,879,92
7.7,839,86
7.8,744,75
7,536,54
5.3,97,12
3.5,0,0
2.7,0,0
2.8,0,0
2.9,0,0
2.2,0,0
0.6,0,0
-0.9,0,0
-1.8,0,0
-2,0,0
-2.3,0,0
-2.3,0,0
-2.2,0,0
-2,0,0
-1,1,0
0.7,188,40
2.4,542,81
4.2,572,138
6.3,680,143
8.3,713,148
9.5,722,140
10,747,109
10.5,616,100
9.7,467,60
7.8,80,13
5.9,0,0
4.7,0,0
4.3,0,0
3.9,0,0
3.5,0,0
3,0,0
2.5,0,0
2.1,0,0
1.8,0,0
1.5,0,0
1.1,0,0
0.8,0,0
0.4,0,0
1,1,0
2.6,310,34
4.1,665,65
4.9,826,75
4.9,913,76
4.8,950,75
4.7,943,76
4.6,909,72
4.4,832,63
3.6,657,46
2.1,155,12
0.6,0,0
-0.1,0,0
0,0,0
0.2,0,0
-0.3,0,0
-1.4,0,0
-2.5,0,0
-3.1,0,0
-3.2,0,0
-3.3,0,0
-3.5,0,0
-3.7,0,0
-4,0,0
-3.1,2,0
-1.3,343,33
