Ambient temp,Direct normal solar,Diffuse horizontal solar
2.6,0,0
2.1,0,0
2.2,0,0
1.3,0,0
1,0,0
1.3,0,0
1.7,0,0
1.8,24.8,1.6
2.3,489.6,24.3
4.6,623.2,37.8
7.6,695.2,44.1
10.6,818.1,47.7
12.3,825.3,43.2
12.7,806.4,42.4
13.2,672.8,42.3
12.4,643.5,34.2
9.8,236,12
7.9,0,0
6.7,0,0
4.9,0,0
4.3,0,0
2.8,0,0
3.2,0,0
2.9,0,0
2.5,0,0
2.2,0,0
1.8,0,0
1.7,0,0
2.1,0,0
2,0,0
1.6,0,0
2,27.2,1.6
2.5,460.8,22.5
3.6,727.2,36
6.5,715.2,42.3
8.6,837,45
10.7,843.3,45.9
10.9,823.5,45
11.3,773.1,41.4
10.3,589.6,32.4
8.6,287.1,13.5
6.9,0,0
5.6,0,0
4.6,0,0
4.2,0,0
3.3,0,0
3.3,0,0
2.8,0,0
2.6,0,0
2.6,0,0
2.5,0,0
2,0,0
1.8,0,0
1.8,0,0
1.7,0,0
2.3,26.1,1.6
2.1,483.3,25.2
4,620.8,36
7,689.6,42.4
10.2,807.3,46.4
10.9,720.8,48
11.9,699.2,54
11.8,494.1,80.8
11.8,196.2,83.7
10.5,226.8,15.2
10.2,0,0
8.9,0,0
6.6,0,0
4.6,0,0
3.6,0,0
3.1,0,0
2.6,0,0
1.3,0,0
1.1,0,0
1.1,0,0
-0.1,0,0
0.3,0,0
-0.5,0,0
-0.5,0,0
0.1,27,1.6
0.6,493.2,24.3
2.8,711.9,37.8
5.5,798.3,45
8.7,837.9,47.7
10.4,847.8,47.7
10.8,740,45.9
10.9,787.5,41.4
10.4,607.2,28.8
9,314.1,12.8
7.2,0,0
5.7,0,0
3.8,0,0
2.3,0,0
1.2,0,0
1.2,0,0
1.7,0,0
1.3,0,0
0.6,0,0
0.8,0,0
0.2,0,0
0.8,0,0
0.4,0,0
0.2,0,0
1.1,27.2,1.8
1.5,527.4,22.5
3.3,735.3,31.2
6.4,721.6,41.4
8.7,752,39.2
11,853.2,45
11.1,837.9,38.4
11.5,791.1,35.2
10.3,682.2,31.5
8.2,315,12.8
6,0,0
4.1,0,0
3.6,0,0
2.1,0,0
2,0,0
2.2,0,0
2.3,0,0
1.4,0,0
1.6,0,0
1.8,0,0
1.4,0,0
